"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Flare of Denial","U","R","24691","4.29","3719","5.85","12189","55.9%","53.4%","1937","51.4%","3531","57.3%","5468","55.2%","6727","51.9%","3.3pp"
"Harbinger of the Seas","U","R","34730","6.09","3814","9.54","499","2.2%","","82","","133","","215","","287","",""
"Hope-Ender Coatl","U","U","48299","3.48","12318","4.22","64330","87.5%","55.0%","11157","57.3%","17046","57.1%","28203","57.2%","35887","53.2%","4.0pp"
"Kozilek's Unsealing","U","U","54576","4.35","10475","5.38","40445","66.8%","52.3%","7058","51.8%","9962","53.2%","17020","52.6%","23008","51.9%","0.8pp"
"Petrifying Meddler","U","C","185301","5.13","30777","7.14","143166","78.6%","53.8%","23250","52.5%","37953","57.5%","61203","55.6%","80701","52.2%","3.4pp"
"Roil Cartographer","U","U","56783","4.30","14121","5.05","67547","80.2%","55.3%","11906","59.2%","17960","57.6%","29866","58.3%","37711","52.9%","5.3pp"
"Sage of the Unknowable","U","C","213571","6.56","27095","9.42","87495","55.6%","51.8%","15856","52.3%","21936","51.0%","37792","51.5%","49207","52.0%","-0.4pp"
"Serum Visionary","U","C","185584","5.19","36478","6.81","179613","82.0%","55.6%","31916","56.2%","48302","59.5%","80218","58.2%","98476","53.5%","4.7pp"
"Shadow of the Second Sun","U","M","11838","4.17","2647","4.83","9659","60.8%","55.5%","1557","57.4%","2825","58.5%","4382","58.1%","5292","53.2%","4.9pp"
"Strix Serenade","U","R","32771","5.77","3165","9.27","1972","10.6%","45.6%","311","","496","","807","43.7%","1164","46.9%","-3.2pp"
"Tamiyo Meets the Story Circle","U","U","84531","6.82","12151","9.41","25914","36.8%","50.0%","4510","43.6%","7403","52.9%","11913","49.4%","13989","50.6%","-1.2pp"
