"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Sandstorm Verge","","U","96337","7.12","11834","10.44","28524","40.4%","54.8%","4699","54.1%","6501","54.8%","11200","54.5%","16667","54.5%","0.1pp"
"Soured Springs","","C","106637","4.96","23587","6.59","114581","82.2%","54.1%","21225","56.6%","29124","55.3%","50349","55.8%","61719","52.2%","3.7pp"
"Jace Reawakened","U","M","5823","1.97","2195","1.98","9679","78.3%","49.5%","1636","48.4%","2659","52.0%","4295","50.6%","5349","48.5%","2.1pp"
"Bucolic Ranch","","U","92274","6.41","14371","8.97","48323","55.5%","57.5%","8254","57.5%","10257","56.3%","18511","56.8%","28192","57.5%","-0.6pp"
"Blooming Marsh","","R","27611","3.80","5497","5.24","23495","72.6%","53.7%","4368","55.5%","5360","52.7%","9728","53.9%","13691","53.5%","0.5pp"
"Botanical Sanctum","","R","28459","3.99","5021","5.58","18384","62.8%","52.6%","3395","55.4%","4373","52.2%","7768","53.6%","10490","51.9%","1.7pp"
"Concealed Courtyard","","R","29053","4.06","4808","5.82","17961","62.9%","54.2%","3309","57.2%","4086","53.1%","7395","54.9%","10557","53.8%","1.1pp"
"Inspiring Vantage","","R","28551","3.99","4503","5.65","16877","64.0%","53.5%","3165","54.0%","3663","51.5%","6828","52.7%","10034","54.1%","-1.5pp"
"Spirebluff Canal","","R","28983","4.10","4327","5.83","15052","60.8%","49.7%","2751","52.9%","3797","50.0%","6548","51.2%","8461","48.4%","2.8pp"
"Stoneforge Mystic","W","M","2331","3.55","419","","717","29.5%","54.7%","119","","166","","285","","432","",""
"Brazen Borrower","U","M","1228","2.02","558","2.11","2710","83.5%","53.8%","524","57.8%","726","59.5%","1250","58.8%","1436","49.0%","9.8pp"
"Desertion","U","M","1739","2.73","544","3.01","2637","82.0%","53.2%","416","","734","59.0%","1150","57.1%","1465","49.9%","7.2pp"
"Morbid Opportunist","B","M","1196","1.93","596","2.02","3319","93.8%","54.1%","546","58.2%","854","57.1%","1400","57.6%","1916","51.6%","6.0pp"
"Port Razer","R","M","1681","2.80","268","","987","65.1%","49.6%","151","","219","","370","","617","49.3%",""
"Scapeshift","G","M","3657","5.46","428","","47","1.8%","","11","","17","","28","","19","",""
"Mystic Snake","UG","M","2292","3.50","493","","1796","61.4%","52.1%","308","","444","","752","55.9%","1027","49.3%","6.6pp"
"Notion Thief","UB","M","2339","3.48","430","","1161","48.6%","44.8%","205","","318","","523","46.5%","632","43.0%","3.4pp"
"Desert","","M","2197","3.17","407","","1890","80.4%","53.1%","306","","421","","727","56.1%","1102","50.5%","5.6pp"
"Prismatic Vista","","M","1641","2.42","512","2.84","2918","97.1%","52.8%","566","51.9%","687","51.7%","1253","51.8%","1653","53.7%","-1.9pp"
"Collector's Cage","W","M","3955","1.79","2511","1.80","14339","92.2%","57.8%","2506","61.4%","3676","63.4%","6182","62.6%","8128","54.1%","8.5pp"
"Grand Abolisher","W","M","8502","3.57","1239","4.96","3827","53.1%","51.9%","610","51.0%","855","50.8%","1465","50.9%","2361","52.5%","-1.7pp"
"Oltec Matterweaver","W","M","3818","1.77","2062","1.80","11219","90.7%","55.5%","1962","59.3%","2744","56.6%","4706","57.7%","6513","53.9%","3.8pp"
